Track.Name,Artist,songId,Region,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
Unforgettable,French Montana,3B54sVLJ402zGa6Xm4YGNe,France,,,,,,,8,3,8,,,
Mi Gente,J Balvin,2rb5MvYT7ZIxbKW5hfcHx8,France,,,,,,,,5,,,,
Mobali,Siboy,6xcXAVbDuVT1pCsa2rmDHY,France,,,,,,,,9,,,,
Suis-moi,Alonzo,54G8osRu1htBw1PQEkYIdL,France,,,,,,,,10,,,,
De l'autre côté (feat. Nekfeu),Ninho,3ldfGgw7IoLHbaqmspX3ME,France,,,,,,,,,2,8,,
Mamacita,Ninho,35gJuqfvrdlCA2MmAtaD3J,France,,,,,,,,,3,,,
Caramelo,Ninho,4fuhLKAuSxRY5OO2hwARlY,France,,,,,,,,,4,,,
Réseaux,Niska,2nY6MRHWpW0AGXMoGDJOjX,France,,,,,,,,,5,1,5,
Tuba Life,Niska,2r6C2IEw533mDs3sam5Zxx,France,,,,,,,,,6,4,9,
Rose,Ninho,4Ln4KAwk37peyCh2QpqYnP,France,,,,,,,,,7,,,
Medellín,Niska,1gI6FedOWXQ7aSj4FfEiGK,France,,,,,,,,,9,5,,
Elle m'a eu,Ninho,78DktVruMrKYyv6rjdKDMM,France,,,,,,,,,10,,,
Salé,Niska,0uBu60Wd7yzm2sFrj2hSr6,France,,,,,,,,,,2,2,
Mwaka Moon,Kalash,1vVZLmZq8gN8pPCEBLjPvD,France,,,,,,,,,,3,1,1
Basique,Orelsan,2ICdvchXmDh5mdLyyL2opB,France,,,,,,,,,,6,7,
Défaite de famille,Orelsan,0IvTKTST66tq30ZeFWeqfm,France,,,,,,,,,,7,8,
Zone (feat. Nekfeu & Dizzee Rascal),Orelsan,1Tx2jZNOvlrj20ctkCg8vR,France,,,,,,,,,,9,,
Madre mia (feat. Ninho),Sadek,37YNulvDhyzULfhHycmhEl,France,,,,,,,,,,10,,
rockstar,Post Malone,7wGoVu4Dady5GV0Sv4UIsx,France,,,,,,,,,,,3,5
Havana,Camila Cabello,0ofbQMrRDsUaVKq2mGLEAb,France,,,,,,,,,,,4,10
Noche,Lacrim,4eUxD9V0Df1prftDNBpQ9Z,France,,,,,,,,,,,6,
Reine,Dadju,2HdCh16tdPjle1rm80Y6q7,France,,,,,,,,,,,10,7
Friday,Booba,1CYj9Yx8zrYvU93khXvmsA,France,,,,,,,,,,,,2
113,Booba,6xqAP7kpdgCy8lERQHh29c,France,,,,,,,,,,,,3
Petite fille,Booba,1ywqGGNsfC9gditduk5hpZ,France,,,,,,,,,,,,4
Drapeau noir,Booba,5SGoH6oXOUUWKpvuOzLEnM,France,,,,,,,,,,,,6
Trône,Booba,5uTod3SFov0HLe1QAPn960,France,,,,,,,,,,,,8
Ridin',Booba,06IYJV7Ed3FfpJurK7OIFG,France,,,,,,,,,,,,9
Reggaetón Lento (Bailemos),CNCO,3AEZUABDXNtecAOSC1qTfo,Argentina,1,2,4,8,,,,,,,,
Chantaje,Shakira,6mICuAdrwEjh6Y6lroV2Kg,Argentina,2,4,7,,,,,,,,,
Cuando Se Pone a Bailar,Rombai,1MpKZi1zTXpERKwxmOu1PH,Argentina,3,5,8,,,,,,,,,
Vente Pa' Ca,Ricky Martin,7DM4BPaS7uofFul3ywMe46,Argentina,4,,,,,,,,,,,
Safari,J Balvin,6rQSrBHf7HlZjtcMZ4S4bO,Argentina,5,9,,,,,,,,,,
Despacito (Featuring Daddy Yankee),Luis Fonsi,4aWmUDTfIPGksMNLV2rQP2,Argentina,6,1,1,1,5,9,,,,,,
