"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"Benjamin Ingrosso"," 1"," 0.574"," 0.742"," 0.0955"," 0.0621"," 0.0"," 0.262"," 0.409"," "
"Benji & Fede"," 1"," 0.753"," 0.775"," 0.0805"," 0.0279"," 0.0"," 0.11"," 0.646"," "
"BESS"," 1"," 0.958"," 0.774"," 0.0443"," 0.211"," 0.381"," 0.073"," 0.69"," "
"Big Sean"," 4"," 0.6970000000000001"," 0.614"," 0.24249999999999997"," 0.195275"," 2.625e-07"," 0.20475"," 0.297"," "
"Big Shaq"," 1"," 0.895"," 0.885"," 0.268"," 0.11"," 4.04e-05"," 0.106"," 0.633"," "
"Bing Crosby"," 2"," 0.48250000000000004"," 0.193"," 0.04175"," 0.7210000000000001"," 0.1765"," 0.21815"," 0.375"," "
"Birgitta Haukdal"," 1"," 0.818"," 0.416"," 0.0295"," 0.0434"," 2.86e-05"," 0.0615"," 0.85"," "
"Birnir"," 2"," 0.7615"," 0.4895"," 0.23550000000000001"," 0.12480000000000001"," 5.55e-05"," 0.10525"," 0.6154999999999999"," "
"Björgvin Halldórsson"," 1"," 0.612"," 0.443"," 0.0263"," 0.212"," 0.000142"," 0.285"," 0.641"," "
"BLACKPINK"," 1"," 0.786"," 0.853"," 0.0816"," 0.0688"," 0.0"," 0.0759"," 0.45"," "
"Blanche"," 1"," 0.607"," 0.449"," 0.027"," 0.234"," 7.31e-06"," 0.208"," 0.142"," "
"Bobby Helms"," 1"," 0.741"," 0.34"," 0.0446"," 0.614"," 0.0"," 0.0955"," 0.838"," "
"Boef"," 10"," 0.7148999999999999"," 0.8131999999999999"," 0.28717999999999994"," 0.22206"," 0.0"," 0.15319999999999998"," 0.6154999999999999"," "
"Bonez MC"," 1"," 0.766"," 0.8"," 0.0938"," 0.16"," 1.6e-05"," 0.0744"," 0.635"," "
"Booba"," 11"," 0.779"," 0.7158181818181818"," 0.18656363636363638"," 0.49345454545454553"," 0.0016694345454545461"," 0.09750909090909089"," 0.5182727272727272"," "
"Brenda Lee"," 1"," 0.703"," 0.407"," 0.0504"," 0.706"," 0.0"," 0.45"," 0.849"," "
"Britney Spears"," 1"," 0.665"," 0.844"," 0.0273"," 0.171"," 0.0"," 0.225"," 0.665"," "
