danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.553,0.476,0,-8.869,1,0.0649,0.647,0,0.281,0.558,113.401,audio_features,0Ie5uiv54KgCr7P4sYDTHl,spotify:track:0Ie5uiv54KgCr7P4sYDTHl,https://api.spotify.com/v1/tracks/0Ie5uiv54KgCr7P4sYDTHl,https://api.spotify.com/v1/audio-analysis/0Ie5uiv54KgCr7P4sYDTHl,166147,3
0.67,0.585,6,-4.861,0,0.0354,0.107,0.00000111,0.131,0.447,110.03,audio_features,7i2DJ88J7jQ8K7zqFX2fW8,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,https://api.spotify.com/v1/audio-analysis/7i2DJ88J7jQ8K7zqFX2fW8,214802,4
0.663,0.575,6,-4.907,0,0.0458,0.1,0.00000316,0.133,0.458,110.04,audio_features,0Nhu3zSYbEz32IYiobV75e,spotify:track:0Nhu3zSYbEz32IYiobV75e,https://api.spotify.com/v1/tracks/0Nhu3zSYbEz32IYiobV75e,https://api.spotify.com/v1/audio-analysis/0Nhu3zSYbEz32IYiobV75e,214802,4
0.657,0.703,1,-3.402,1,0.0753,0.222,0,0.256,0.338,122.381,audio_features,0Zx8khUcEfCFK2AEoIhC92,spotify:track:0Zx8khUcEfCFK2AEoIhC92,https://api.spotify.com/v1/tracks/0Zx8khUcEfCFK2AEoIhC92,https://api.spotify.com/v1/audio-analysis/0Zx8khUcEfCFK2AEoIhC92,214693,4
0.592,0.438,1,-10.054,1,0.0391,0.193,0,0.0564,0.259,67.445,audio_features,1rPCgtaIF0CyKRgAwhtpbF,spotify:track:1rPCgtaIF0CyKRgAwhtpbF,https://api.spotify.com/v1/tracks/1rPCgtaIF0CyKRgAwhtpbF,https://api.spotify.com/v1/audio-analysis/1rPCgtaIF0CyKRgAwhtpbF,185000,4
0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.989,audio_features,4rex1k9pBVFaIVKBBssZzi,spotify:track:4rex1k9pBVFaIVKBBssZzi,https://api.spotify.com/v1/tracks/4rex1k9pBVFaIVKBBssZzi,https://api.spotify.com/v1/audio-analysis/4rex1k9pBVFaIVKBBssZzi,198021,4
0.528,0.874,1,-3.028,0,0.0456,0.045,0,0.0888,0.376,105.042,audio_features,0jVPEBd4wyHupkTHwzQRyc,spotify:track:0jVPEBd4wyHupkTHwzQRyc,https://api.spotify.com/v1/tracks/0jVPEBd4wyHupkTHwzQRyc,https://api.spotify.com/v1/audio-analysis/0jVPEBd4wyHupkTHwzQRyc,206394,4
0.855,0.506,6,-5.303,1,0.345,0.00579,0,0.101,0.699,160.088,audio_features,2mL3B5GilTm4dUT6P8LVpd,spotify:track:2mL3B5GilTm4dUT6P8LVpd,https://api.spotify.com/v1/tracks/2mL3B5GilTm4dUT6P8LVpd,https://api.spotify.com/v1/audio-analysis/2mL3B5GilTm4dUT6P8LVpd,180114,4
0.527,0.465,7,-8.055,0,0.227,0.175,0,0.0661,0.765,137.033,audio_features,7amMgNDcObIDkIXv4xcvc2,spotify:track:7amMgNDcObIDkIXv4xcvc2,https://api.spotify.com/v1/tracks/7amMgNDcObIDkIXv4xcvc2,https://api.spotify.com/v1/audio-analysis/7amMgNDcObIDkIXv4xcvc2,202827,5
0.895,0.885,0,-4.182,1,0.268,0.11,0.0000404,0.106,0.633,134.973,audio_features,2nUJvBO87SkxCViQsLc9Zr,spotify:track:2nUJvBO87SkxCViQsLc9Zr,https://api.spotify.com/v1/tracks/2nUJvBO87SkxCViQsLc9Zr,https://api.spotify.com/v1/audio-analysis/2nUJvBO87SkxCViQsLc9Zr,186027,4
