name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Nikke Ankara, 5, 3.681, 3.795, 25.279, 0.3626, 0.79931, 2.12e-06, 0.8302999999999999, 3.448, 539.033, 
Vice, 1, 0.779, 0.671, 5.829, 0.0814, 0.153, 1.12e-05, 0.115, 0.718, 104.953, 
Sage The Gemini, 2, 1.562, 1.14, 11.748, 0.376, 0.546, 0.0, 0.392, 1.716, 214.118, 
Antti Tuisku, 10, 6.815999999999999, 6.744999999999999, 53.11200000000001, 0.6774, 1.7572999999999999, 0.00130739, 1.1568, 6.228, 1347.409, 
Mäkki, 4, 3.0709999999999997, 3.02, 20.895, 0.5715, 0.6668999999999999, 0.0, 0.9097999999999999, 2.7119999999999997, 467.121, 
Jenni Vartiainen, 4, 2.335, 2.7640000000000002, 23.161, 0.3643, 0.932, 3.7e-06, 0.6026, 2.393, 552.394, 
Janne Ordén, 1, 0.645, 0.783, 5.412, 0.164, 0.182, 0.0, 0.16, 0.631, 91.084, 
Haloo Helsinki!, 3, 1.562, 2.2720000000000002, 21.286, 0.1863, 0.07019, 0.0018802, 0.756, 1.0570000000000002, 461.882, 
Katy Perry, 4, 2.916, 3.028, 21.499000000000002, 0.3365, 0.22210000000000002, 0.0001161, 0.614, 2.068, 535.72, 
JVG, 12, 8.824, 8.593, 68.862, 1.5184000000000002, 1.7825499999999996, 0.0006197800000000001, 1.7417, 6.54, 1461.247, 
Aleksanteri Hakaniemi, 3, 2.278, 2.5, 16.136, 0.21589999999999998, 0.1218, 0.0, 0.2226, 2.217, 351.03700000000003, 
SANNI, 5, 2.961, 3.1590000000000003, 33.31, 0.2791, 0.7817000000000001, 0.023899, 0.482, 2.572, 610.785, 
Reino Nordin, 2, 1.138, 1.434, 9.278, 0.386, 0.6798, 0.00148, 0.28, 1.4500000000000002, 370.057, 
Laura Voutilainen, 1, 0.798, 0.799, 6.221, 0.0743, 0.0216, 0.0, 0.0818, 0.894, 129.101, 
Robin, 5, 2.8569999999999998, 3.4670000000000005, 26.649, 0.2618, 0.5293, 0.0, 1.135, 2.849, 564.662, 
ALMA, 2, 1.546, 1.486, 8.995000000000001, 0.14529999999999998, 0.637, 1.17e-05, 0.536, 0.9750000000000001, 221.97500000000002, 
Gasellit, 1, 0.8, 0.709, 5.555, 0.142, 0.284, 1.37e-05, 0.15, 0.586, 97.918, 
Portion Boys, 1, 0.756, 0.874, 4.212, 0.0316, 0.00535, 0.0, 0.127, 0.604, 115.033, 
